"dbn","grade","year","subject","n","score"
"01M064","All Grades",2010,"ELA",125,NA
"01M064","All Grades",2011,"ELA",126,657
"01M064","All Grades",2012,"ELA",127,659
"01M110","3",2006,"ELA",73,687
"01M110","3",2007,"ELA",53,667
"01M110","3",2008,"ELA",83,672
"01M110","3",2009,"ELA",62,678
"01M110","3",2010,"ELA",82,674
"01M110","3",2011,"ELA",68,670
"01M110","3",2012,"ELA",52,662
"01M110","4",2006,"ELA",79,662
"01M110","4",2007,"ELA",75,666
"01M110","4",2008,"ELA",55,658
"01M110","4",2009,"ELA",81,670
"01M110","4",2010,"ELA",62,670
"01M110","4",2011,"ELA",71,671
"01M110","4",2012,"ELA",72,676
"01M110","5",2006,"ELA",66,669
"01M110","5",2007,"ELA",70,672
"01M110","5",2008,"ELA",69,667
"01M110","5",2009,"ELA",52,670
"01M110","5",2010,"ELA",72,671
"01M110","5",2011,"ELA",53,671
"01M110","5",2012,"ELA",70,670
"01M110","6",2006,"ELA",51,657
"01M110","7",2006,"ELA",53,649
"01M110","8",2006,"ELA",40,645
"01M110","All Grades",2006,"ELA",362,NA
"01M110","All Grades",2007,"ELA",198,NA
"01M110","All Grades",2008,"ELA",207,NA
"01M110","All Grades",2009,"ELA",195,NA
"01M110","All Grades",2010,"ELA",216,NA
"01M110","All Grades",2011,"ELA",192,670
"01M110","All Grades",2012,"ELA",194,670
"01M134","3",2006,"ELA",48,639
"01M134","3",2007,"ELA",49,658
"01M134","3",2008,"ELA",60,644
"01M134","3",2009,"ELA",57,655
"01M134","3",2010,"ELA",45,653
"01M134","3",2011,"ELA",53,653
"01M134","3",2012,"ELA",57,659
"01M134","4",2006,"ELA",42,653
"01M134","4",2007,"ELA",44,644
"01M134","4",2008,"ELA",43,655
"01M134","4",2009,"ELA",62,649
"01M134","4",2010,"ELA",58,663
"01M134","4",2011,"ELA",38,665
"01M134","4",2012,"ELA",45,663
"01M134","5",2006,"ELA",44,639
"01M134","5",2007,"ELA",40,651
"01M134","5",2008,"ELA",44,652
"01M134","5",2009,"ELA",51,678
"01M134","5",2010,"ELA",61,658
"01M134","5",2011,"ELA",58,665
"01M134","5",2012,"ELA",42,660
"01M134","6",2006,"ELA",47,649
"01M134","All Grades",2006,"ELA",181,NA
"01M134","All Grades",2007,"ELA",133,NA
"01M134","All Grades",2008,"ELA",147,NA
"01M134","All Grades",2009,"ELA",170,NA
"01M134","All Grades",2010,"ELA",164,NA
"01M134","All Grades",2011,"ELA",149,661
"01M134","All Grades",2012,"ELA",144,660
"01M137","3",2006,"ELA",36,646
"01M137","3",2007,"ELA",27,642
"01M137","3",2008,"ELA",33,668
"01M137","3",2009,"ELA",24,659
"01M137","3",2010,"ELA",25,669
"01M137","3",2011,"ELA",33,649
"01M137","3",2012,"ELA",18,654
"01M137","4",2006,"ELA",47,636
"01M137","4",2007,"ELA",39,641
"01M137","4",2008,"ELA",26,648
"01M137","4",2009,"ELA",32,665
"01M137","4",2010,"ELA",21,669
"01M137","4",2011,"ELA",28,655
"01M137","4",2012,"ELA",29,653
"01M137","5",2006,"ELA",50,631
"01M137","5",2007,"ELA",51,647
"01M137","5",2008,"ELA",36,649
"01M137","5",2009,"ELA",28,655
"01M137","5",2010,"ELA",27,655
"01M137","5",2011,"ELA",23,656
"01M137","5",2012,"ELA",24,658
"01M137","6",2006,"ELA",62,647
"01M137","All Grades",2006,"ELA",195,NA
"01M137","All Grades",2007,"ELA",117,NA
"01M137","All Grades",2008,"ELA",95,NA
"01M137","All Grades",2009,"ELA",84,NA
"01M137","All Grades",2010,"ELA",73,NA
"01M137","All Grades",2011,"ELA",84,653
"01M137","All Grades",2012,"ELA",71,655
"01M140","3",2006,"ELA",43,632
"01M140","3",2007,"ELA",30,637
"01M140","3",2008,"ELA",37,638
"01M140","3",2009,"ELA",35,653
"01M140","3",2010,"ELA",26,659
"01M140","3",2011,"ELA",25,653
"01M140","3",2012,"ELA",23,653
"01M140","4",2006,"ELA",41,633
"01M140","4",2007,"ELA",38,637
"01M140","4",2008,"ELA",32,642
"01M140","4",2009,"ELA",40,641
"01M140","4",2010,"ELA",36,651
"01M140","4",2011,"ELA",24,659
"01M140","4",2012,"ELA",26,649
"01M140","5",2006,"ELA",41,638
"01M140","5",2007,"ELA",37,644
"01M140","5",2008,"ELA",38,647
"01M140","5",2009,"ELA",23,662
"01M140","5",2010,"ELA",37,653
"01M140","5",2011,"ELA",35,654
"01M140","5",2012,"ELA",26,660
"01M140","6",2006,"ELA",51,631
"01M140","6",2007,"ELA",70,640
"01M140","6",2008,"ELA",61,648
"01M140","6",2009,"ELA",58,656
"01M140","6",2010,"ELA",53,656
"01M140","6",2011,"ELA",64,650
"01M140","6",2012,"ELA",63,656
"01M140","7",2006,"ELA",81,629
"01M140","7",2007,"ELA",67,647
"01M140","7",2008,"ELA",68,650
"01M140","7",2009,"ELA",57,656
"01M140","7",2010,"ELA",57,657
"01M140","7",2011,"ELA",51,658
"01M140","7",2012,"ELA",58,652
"01M140","8",2006,"ELA",96,633
"01M140","8",2007,"ELA",87,636
"01M140","8",2008,"ELA",64,644
"01M140","8",2009,"ELA",68,643
"01M140","8",2010,"ELA",61,649
"01M140","8",2011,"ELA",60,647
"01M140","8",2012,"ELA",55,649
"01M140","All Grades",2006,"ELA",353,NA
"01M140","All Grades",2007,"ELA",329,NA
"01M140","All Grades",2008,"ELA",300,NA
"01M140","All Grades",2009,"ELA",281,NA
"01M140","All Grades",2010,"ELA",270,NA
"01M140","All Grades",2011,"ELA",259,653
"01M140","All Grades",2012,"ELA",251,653
"01M142","3",2006,"ELA",56,646
"01M142","3",2007,"ELA",58,639
"01M142","3",2008,"ELA",65,657
"01M142","3",2009,"ELA",66,661
"01M142","3",2010,"ELA",51,653
"01M142","3",2011,"ELA",56,654
"01M142","3",2012,"ELA",51,660
"01M142","4",2006,"ELA",64,640
"01M142","4",2007,"ELA",56,639
"01M142","4",2008,"ELA",61,641
"01M142","4",2009,"ELA",63,649
"01M142","4",2010,"ELA",68,663
"01M142","4",2011,"ELA",58,664
"01M142","4",2012,"ELA",61,663
"01M142","5",2006,"ELA",59,630
"01M142","5",2007,"ELA",58,645
"01M142","5",2008,"ELA",58,653
"01M142","5",2009,"ELA",61,660
"01M142","5",2010,"ELA",61,664
"01M142","5",2011,"ELA",66,663
"01M142","5",2012,"ELA",59,664
"01M142","6",2006,"ELA",74,636
"01M142","All Grades",2006,"ELA",253,NA
"01M142","All Grades",2007,"ELA",172,NA
"01M142","All Grades",2008,"ELA",184,NA
"01M142","All Grades",2009,"ELA",190,NA
"01M142","All Grades",2010,"ELA",180,NA
"01M142","All Grades",2011,"ELA",180,661
"01M142","All Grades",2012,"ELA",171,662
"01M184","3",2006,"ELA",46,697
"01M184","3",2007,"ELA",56,693
"01M184","3",2008,"ELA",53,689
"01M184","3",2009,"ELA",67,693
"01M184","3",2010,"ELA",71,677
"01M184","3",2011,"ELA",63,678
"01M184","3",2012,"ELA",74,677
"01M184","4",2006,"ELA",49,686
"01M184","4",2007,"ELA",54,687
"01M184","4",2008,"ELA",52,694
"01M184","4",2009,"ELA",54,685
"01M184","4",2010,"ELA",65,690
"01M184","4",2011,"ELA",69,695
"01M184","4",2012,"ELA",62,695
"01M184","5",2006,"ELA",40,691
"01M184","5",2007,"ELA",46,683
"01M184","5",2008,"ELA",50,690
"01M184","5",2009,"ELA",53,705
"01M184","5",2010,"ELA",55,706
"01M184","5",2011,"ELA",67,683
"01M184","5",2012,"ELA",67,684
"01M184","6",2006,"ELA",49,682
"01M184","6",2007,"ELA",43,680
"01M184","6",2008,"ELA",47,676
"01M184","6",2009,"ELA",50,685
"01M184","6",2010,"ELA",46,680
"01M184","6",2011,"ELA",54,673
"01M184","6",2012,"ELA",60,675
"01M184","7",2006,"ELA",32,681
"01M184","7",2007,"ELA",51,681
"01M184","7",2008,"ELA",44,683
"01M184","7",2009,"ELA",51,672
"01M184","7",2010,"ELA",50,687
"01M184","7",2011,"ELA",48,680
"01M184","7",2012,"ELA",51,680
"01M184","8",2007,"ELA",41,681
"01M184","8",2008,"ELA",53,672
"01M184","8",2009,"ELA",46,678
"01M184","8",2010,"ELA",52,668
"01M184","8",2011,"ELA",49,669
"01M184","8",2012,"ELA",48,680
"01M184","All Grades",2006,"ELA",216,NA
"01M184","All Grades",2007,"ELA",291,NA
"01M184","All Grades",2008,"ELA",299,NA
"01M184","All Grades",2009,"ELA",321,NA
"01M184","All Grades",2010,"ELA",339,NA
"01M184","All Grades",2011,"ELA",350,681
"01M184","All Grades",2012,"ELA",362,682
"01M188","3",2006,"ELA",40,646
"01M188","3",2007,"ELA",31,644
"01M188","3",2008,"ELA",22,637
"01M188","3",2009,"ELA",42,649
"01M188","3",2010,"ELA",28,642
"01M188","3",2011,"ELA",27,654
"01M188","3",2012,"ELA",32,656
"01M188","4",2006,"ELA",35,630
"01M188","4",2007,"ELA",36,652
"01M188","4",2008,"ELA",30,648
"01M188","4",2009,"ELA",25,666
"01M188","4",2010,"ELA",46,662
"01M188","4",2011,"ELA",28,667
"01M188","4",2012,"ELA",27,665
"01M188","5",2006,"ELA",27,639
"01M188","5",2007,"ELA",35,643
"01M188","5",2008,"ELA",35,667
"01M188","5",2009,"ELA",30,665
"01M188","5",2010,"ELA",25,661
"01M188","5",2011,"ELA",44,664
"01M188","5",2012,"ELA",32,660
"01M188","6",2006,"ELA",39,634
"01M188","6",2007,"ELA",58,644
"01M188","6",2008,"ELA",64,645
"01M188","6",2009,"ELA",39,658
"01M188","6",2010,"ELA",44,652
"01M188","6",2011,"ELA",41,653
"01M188","6",2012,"ELA",55,654
"01M188","7",2006,"ELA",56,629
"01M188","7",2007,"ELA",58,643
"01M188","7",2008,"ELA",58,648
"01M188","7",2009,"ELA",55,655
"01M188","7",2010,"ELA",39,654
"01M188","7",2011,"ELA",47,653
"01M188","7",2012,"ELA",49,657
"01M188","8",2006,"ELA",53,627
"01M188","8",2007,"ELA",50,633
"01M188","8",2008,"ELA",55,646
"01M188","8",2009,"ELA",56,650
"01M188","8",2010,"ELA",60,636
"01M188","8",2011,"ELA",45,646
"01M188","8",2012,"ELA",49,650
"01M188","All Grades",2006,"ELA",250,NA
"01M188","All Grades",2007,"ELA",268,NA
"01M188","All Grades",2008,"ELA",264,NA
"01M188","All Grades",2009,"ELA",247,NA
"01M188","All Grades",2010,"ELA",242,NA
"01M188","All Grades",2011,"ELA",232,656
"01M188","All Grades",2012,"ELA",244,656
"01M292","6",2007,"ELA",46,645
"01M292","6",2008,"ELA",55,640
"01M292","6",2009,"ELA",44,651
"01M292","6",2010,"ELA",36,647
"01M292","6",2011,"ELA",26,646
"01M292","6",2012,"ELA",22,640
"01M292","7",2006,"ELA",78,631
"01M292","7",2007,"ELA",61,633
"01M292","7",2008,"ELA",48,648
"01M292","7",2009,"ELA",50,648
"01M292","7",2010,"ELA",45,649
"01M292","7",2011,"ELA",35,645
"01M292","7",2012,"ELA",28,638
"01M292","8",2006,"ELA",61,623
"01M292","8",2007,"ELA",70,635
"01M292","8",2008,"ELA",70,631
"01M292","8",2009,"ELA",60,640
"01M292","8",2010,"ELA",73,632
"01M292","8",2011,"ELA",43,637
"01M292","8",2012,"ELA",48,636
"01M292","All Grades",2006,"ELA",139,NA
"01M292","All Grades",2007,"ELA",177,NA
"01M292","All Grades",2008,"ELA",173,NA
"01M292","All Grades",2009,"ELA",154,NA
"01M292","All Grades",2010,"ELA",154,NA
"01M292","All Grades",2011,"ELA",104,642
"01M292","All Grades",2012,"ELA",98,637
"01M301","6",2007,"ELA",48,654
"01M301","6",2008,"ELA",85,645
"01M301","6",2009,"ELA",71,655
"01M301","6",2010,"ELA",44,650
"01M301","6",2011,"ELA",44,654
"01M301","6",2012,"ELA",62,655
"01M301","7",2006,"ELA",92,640
"01M301","7",2007,"ELA",53,654
"01M301","7",2008,"ELA",50,653
"01M301","7",2009,"ELA",80,658
"01M301","7",2010,"ELA",72,655
"01M301","7",2011,"ELA",42,654
"01M301","7",2012,"ELA",43,656
"01M301","8",2007,"ELA",81,651
"01M301","8",2008,"ELA",52,646
"01M301","8",2009,"ELA",56,646
"01M301","8",2010,"ELA",80,646
"01M301","8",2011,"ELA",76,643
"01M301","8",2012,"ELA",42,648
"01M301","All Grades",2006,"ELA",92,NA
"01M301","All Grades",2007,"ELA",182,NA
"01M301","All Grades",2008,"ELA",187,NA
"01M301","All Grades",2009,"ELA",207,NA
"01M301","All Grades",2010,"ELA",196,NA
"01M301","All Grades",2011,"ELA",162,649
"01M301","All Grades",2012,"ELA",147,653
"01M315","3",2006,"ELA",29,655
"01M315","3",2007,"ELA",17,664
"01M315","3",2008,"ELA",20,664
"01M315","3",2009,"ELA",11,659
"01M315","3",2010,"ELA",21,679
"01M315","3",2011,"ELA",26,677
"01M315","3",2012,"ELA",18,656
"01M315","4",2006,"ELA",19,644
"01M315","4",2007,"ELA",28,646
"01M315","4",2008,"ELA",16,640
"01M315","4",2009,"ELA",14,662
"01M315","4",2010,"ELA",11,666
"01M315","4",2011,"ELA",21,686
"01M315","4",2012,"ELA",26,687
"01M315","5",2006,"ELA",10,658
"01M315","5",2007,"ELA",18,661
"01M315","5",2008,"ELA",28,667
"01M315","5",2009,"ELA",20,664
"01M315","5",2010,"ELA",16,660
"01M315","5",2011,"ELA",12,662
"01M315","5",2012,"ELA",19,682
"01M315","6",2006,"ELA",22,641
"01M315","All Grades",2006,"ELA",80,NA
"01M315","All Grades",2007,"ELA",63,NA
"01M315","All Grades",2008,"ELA",64,NA
"01M315","All Grades",2009,"ELA",45,NA
"01M315","All Grades",2010,"ELA",48,NA
"01M315","All Grades",2011,"ELA",59,677
"01M315","All Grades",2012,"ELA",63,676
"01M332","6",2007,"ELA",68,646
"01M332","6",2008,"ELA",85,636
"01M332","6",2009,"ELA",47,654
"01M332","6",2010,"ELA",22,645
"01M332","6",2011,"ELA",26,645
"01M332","6",2012,"ELA",35,652
"01M332","7",2006,"ELA",80,624
"01M332","7",2007,"ELA",97,646
"01M332","7",2008,"ELA",80,652
"01M332","7",2009,"ELA",96,650
"01M332","7",2010,"ELA",40,662
"01M332","7",2011,"ELA",28,643
"01M332","7",2012,"ELA",26,653
"01M332","8",2006,"ELA",78,632
"01M332","8",2007,"ELA",78,634
"01M332","8",2008,"ELA",99,641
"01M332","8",2009,"ELA",84,650
"01M332","8",2010,"ELA",87,642
"01M332","8",2011,"ELA",44,647
"01M332","8",2012,"ELA",30,641
"01M332","All Grades",2006,"ELA",158,NA
"01M332","All Grades",2007,"ELA",243,NA
"01M332","All Grades",2008,"ELA",264,NA
"01M332","All Grades",2009,"ELA",227,NA
"01M332","All Grades",2010,"ELA",149,NA
"01M332","All Grades",2011,"ELA",98,645
"01M332","All Grades",2012,"ELA",91,649
"01M345","6",2007,"ELA",85,656
"01M345","6",2008,"ELA",82,659
"01M345","6",2009,"ELA",92,659
"01M345","6",2010,"ELA",66,657
"01M345","6",2011,"ELA",80,657
"01M345","6",2012,"ELA",73,657
"01M345","7",2007,"ELA",96,658
"01M345","7",2008,"ELA",91,658
"01M345","7",2009,"ELA",89,668
"01M345","7",2010,"ELA",84,665
"01M345","7",2011,"ELA",70,660
"01M345","7",2012,"ELA",74,661
"01M345","8",2007,"ELA",89,664
"01M345","8",2008,"ELA",93,656
"01M345","8",2009,"ELA",94,659
"01M345","8",2010,"ELA",86,656
"01M345","8",2011,"ELA",88,647
"01M345","8",2012,"ELA",73,651
"01M345","All Grades",2007,"ELA",270,NA
"01M345","All Grades",2008,"ELA",266,NA
"01M345","All Grades",2009,"ELA",275,NA
"01M345","All Grades",2010,"ELA",236,NA
"01M345","All Grades",2011,"ELA",238,654
"01M345","All Grades",2012,"ELA",220,656
"01M361","3",2006,"ELA",39,672
"01M361","3",2007,"ELA",35,653
"01M361","3",2008,"ELA",29,666
"01M361","3",2009,"ELA",37,661
"01M361","3",2010,"ELA",28,660
"01M361","3",2011,"ELA",21,664
"01M361","3",2012,"ELA",43,659
"01M361","4",2006,"ELA",31,643
"01M361","4",2007,"ELA",33,658
"01M361","4",2008,"ELA",36,647
"01M361","4",2009,"ELA",29,659
"01M361","4",2010,"ELA",34,677
"01M361","4",2011,"ELA",28,673
"01M361","4",2012,"ELA",23,680
"01M361","5",2006,"ELA",38,676
"01M361","5",2007,"ELA",33,658
"01M361","5",2008,"ELA",33,665
"01M361","5",2009,"ELA",32,678
"01M361","5",2010,"ELA",25,675
"01M361","5",2011,"ELA",34,670
"01M361","5",2012,"ELA",24,669
"01M361","6",2006,"ELA",22,658
"01M361","6",2007,"ELA",1,NA
"01M361","All Grades",2006,"ELA",130,NA
"01M361","All Grades",2007,"ELA",102,NA
"01M361","All Grades",2008,"ELA",98,NA
"01M361","All Grades",2009,"ELA",98,NA
"01M361","All Grades",2010,"ELA",87,NA
"01M361","All Grades",2011,"ELA",83,670
"01M361","All Grades",2012,"ELA",90,667
"01M363","3",2006,"ELA",37,667
"01M363","3",2007,"ELA",35,681
"01M363","3",2008,"ELA",41,665
"01M363","3",2009,"ELA",51,663
"01M363","3",2010,"ELA",44,667
"01M363","3",2011,"ELA",39,669
"01M363","3",2012,"ELA",49,663
"01M363","4",2006,"ELA",35,659
"01M363","4",2007,"ELA",38,671
"01M363","4",2008,"ELA",36,669
"01M363","4",2009,"ELA",40,670
"01M363","4",2010,"ELA",49,675
"01M363","4",2011,"ELA",42,673
"01M363","4",2012,"ELA",36,680
"01M363","5",2006,"ELA",41,666
"01M363","5",2007,"ELA",33,657
"01M363","5",2008,"ELA",39,664
"01M363","5",2009,"ELA",37,687
"01M363","5",2010,"ELA",38,676
"01M363","5",2011,"ELA",51,672
"01M363","5",2012,"ELA",35,672
"01M363","6",2006,"ELA",27,663
"01M363","All Grades",2006,"ELA",140,NA
"01M363","All Grades",2007,"ELA",106,NA
"01M363","All Grades",2008,"ELA",116,NA
"01M363","All Grades",2009,"ELA",128,NA
"01M363","All Grades",2010,"ELA",131,NA
"01M363","All Grades",2011,"ELA",132,671
"01M363","All Grades",2012,"ELA",120,671
"01M364","3",2006,"ELA",32,664
"01M364","3",2007,"ELA",44,673
